T_aus: 19500 ms
T_an : 19000 ms

Temperatur    Zaehlerwert
   21 øC         22373
   22 øC         21850
   23 øC         21356
   24 øC         20877
   25 øC         20413
   26 øC         19952
   27 øC         19523
   28 øC         19110
   29 øC         18709
   30 øC         18245
   31 øC         17924
   32 øC         17545
   33 øC         17188
   34 øC         16864
   35 øC         16517
   36 øC         16186
   37 øC         15883
   38 øC         15578
   39 øC         15267
   40 øC         14973
   41 øC         14716
   42 øC         14426
   43 øC         14186
   44 øC         13949
   45 øC         13718
   46 øC         13478
   47 øC         13241
   48 øC         13038
   49 øC         12824
   50 øC         12600
   51 øC         12416
   52 øC         12240
   53 øC         12060
   54 øC         11874
   55 øC         11713
   56 øC         11553
   57 øC         11365
   58 øC         11198
   59 øC         11069
   60 øC         10934
   61 øC         10805
   62 øC         10678
   63 øC         10555
   64 øC         10428
   65 øC         10307
   66 øC         10193
   67 øC         10066
   68 øC          9957
   69 øC          9852
   70 øC          9746
   71 øC          9650
